group	position	instrumenttype	tones	extended_tones	strokes	patterns	rests
GONG_KEBYAR	UGAL	UGAL	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	GENDERRAMBAT	GENDERRAMBAT	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]	[(DONG, 2), (DENG, 2), (DUNG, 2), (DANG, 2)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	TROMPONG	TROMPONG	[(DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2), (DONG, 2), (DENG, 2), (DUNG, 2), (DANG, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	PEMADE_POLOS	PEMADE	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT, RAKE_LEFT, RAKE_RIGHT]	[EXTENSION, SILENCE]
GONG_KEBYAR	PEMADE_SANGSIH	PEMADE	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT, RAKE_LEFT, RAKE_RIGHT]	[EXTENSION, SILENCE]
GONG_KEBYAR	KANTILAN_POLOS	KANTILAN	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT, RAKE_LEFT, RAKE_RIGHT]	[EXTENSION, SILENCE]
GONG_KEBYAR	KANTILAN_SANGSIH	KANTILAN	[(DONG, 0), (DENG, 0), (DUNG, 0), (DANG, 0), (DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1), (DING, 2)]		[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT, RAKE_LEFT, RAKE_RIGHT]	[EXTENSION, SILENCE]
GONG_KEBYAR	REYONG_1	REYONG	[(DENG, 0), (DUNG, 0), (DANG, 0), (DENGDING, None), (BYONG, None), (STRIKE, None)]	[(DING, 1), (DONG, 1)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	REYONG_2	REYONG	[(DING, 1), (DONG, 1), (DENG, 1), (BYONG, None), (STRIKE, None)]	[(DANG, 0), (DUNG, 1)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	REYONG_3	REYONG	[(DUNG, 1), (DANG, 1), (DING, 2), (BYONG, None), (STRIKE, None)]	[(DENG, 1), (DONG, 2)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	REYONG_4	REYONG	[(DONG, 2), (DENG, 2), (DUNG, 2), (BYONG, None), (STRIKE, None)]	[(DANG, 1), (DING, 2)]	[OPEN, ABBREVIATED, MUTED, GRACE_NOTE]	[TREMOLO, TREMOLO_ACCELERATING, NOROT]	[EXTENSION, SILENCE]
GONG_KEBYAR	CALUNG	CALUNG	[(DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
GONG_KEBYAR	JEGOGAN	JEGOGAN	[(DING, 1), (DONG, 1), (DENG, 1), (DUNG, 1), (DANG, 1)]		[OPEN, ABBREVIATED, MUTED]	[TREMOLO, TREMOLO_ACCELERATING,]	[EXTENSION, SILENCE]
