group	ruletype	positions	condition1	value1	condition2	value2	action	actionvalue
GONG_KEBYAR	KEMPYUNG	ANY	NOTE_PAIRS	[(DING, DUNG), (DONG, DANG), (DENG, DING), (DUNG, DONG), (DANG, DENG)]				
SEMAR_PAGULINGAN	KEMPYUNG	ANY	NOTE_PAIRS	[(DING, DUNG), (DONG, DANG), (DENG, DAING), (DUNG, DONG), (DANG, DENG)]				
GONG_PELEGONGAN	KEMPYUNG	ANY	NOTE_PAIRS	[(DING, DUNG), (DONG, DANG), (DENG, DING), (DUNG, DONG), (DANG, DENG)]				
GONG_KEBYAR	UNISONO	ANY	SHARED_BY	ANY	PATTERNTYPE	ANY	TRANSFORM	[SAME_TONE, SAME_PITCH]
GONG_KEBYAR	UNISONO	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	SHARED_BY	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	PATTERNTYPE	ANY	TRANSFORM	[SAME_TONE]
GONG_KEBYAR	UNISONO	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	SHARED_BY	ANY	PATTERNTYPE	ANY	TRANSFORM	[EXACT_KEMPYUNG, SAME_TONE, SAME_PITCH]
GONG_KEBYAR	UNISONO	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	SHARED_BY	ANY	PATTERNTYPE	[RAKE_LEFT, RAKE_RIGHT]	TRANSFORM	[SAME_TONE, SAME_PITCH]
GONG_KEBYAR	UNISONO	[REYONG_1, REYONG_3]	SHARED_BY	[REYONG_1, REYONG_3]	PATTERNTYPE	ANY	TRANSFORM	[SAME_PITCH_EXTENDED_RANGE]
GONG_KEBYAR	UNISONO	[REYONG_2, REYONG_4]	SHARED_BY	[REYONG_2, REYONG_4]	PATTERNTYPE	ANY	TRANSFORM	[SAME_PITCH_EXTENDED_RANGE]
GONG_KEBYAR	UNISONO	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]	SHARED_BY	ANY	PATTERNTYPE	ANY	TRANSFORM	[SAME_PITCH, KEMPYUNG]
SEMAR_PAGULINGAN	UNISONO	ANY	SHARED_BY	ANY	PATTERNTYPE	ANY	TRANSFORM	[SAME_PITCH]
SEMAR_PAGULINGAN	UNISONO	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	SHARED_BY	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	PATTERNTYPE	ANY	TRANSFORM	[SAME_TONE]
SEMAR_PAGULINGAN	UNISONO	[PEMADE_SANGSIH, KANTILAN_SANGSIH]	SHARED_BY	ANY	PATTERNTYPE	ANY	TRANSFORM	[EXACT_KEMPYUNG, SAME_TONE, SAME_PITCH]
