group	instrumenttype	position	bank	preset	channel	port	midioffset	preset_name
GONG_KEBYAR	KEMPLI		0	0	0	0	0	KEMPLI_GONGS
GONG_KEBYAR	GONGS		0	0	0	0	0	KEMPLI_GONGS
GONG_KEBYAR	KENDANG		0	1	1	0	0	KENDANG
GONG_KEBYAR	JEGOGAN		0	2	2	0	0	JEGOGAN
GONG_KEBYAR	CALUNG		0	3	3	0	0	CALUNG
GONG_KEBYAR	PENYACAH		0	3	3	0	0	CALUNG
GONG_KEBYAR	PEMADE	PEMADE_POLOS	0	4	4	0	0	PEMADE
GONG_KEBYAR	PEMADE	PEMADE_SANGSIH	0	4	5	0	0	PEMADE S
GONG_KEBYAR	KANTILAN	KANTILAN_POLOS	0	6	6	0	0	KANTILAN P
GONG_KEBYAR	KANTILAN	KANTILAN_SANGSIH	0	6	7	0	0	KANTILAN S
GONG_KEBYAR	UGAL		0	8	8	0	0	UGAL
GONG_KEBYAR	GENDERRAMBAT		0	9	8	0	0	GENDER
GONG_KEBYAR	TROMPONG		0	8	8	0	40	TROMPONG
GONG_KEBYAR	REYONG	REYONG_1	0	11	10	0	0	REYONG1
GONG_KEBYAR	REYONG	REYONG_2	0	11	11	0	0	REYONG2
GONG_KEBYAR	REYONG	REYONG_3	0	11	12	0	0	REYONG3
GONG_KEBYAR	REYONG	REYONG_4	0	11	13	0	0	REYONG4
GONG_KEBYAR	SULING		0	15	14	0	0	SULING
GONG_KEBYAR	CENGCENG		0	16	15	0	0	CENGCENG
SEMAR_PAGULINGAN	KEMPLI		0	0	0	0	50	KEMPLI_GONGS
SEMAR_PAGULINGAN	GONGS		0	0	0	0	50	KEMPLI_GONGS
SEMAR_PAGULINGAN	KENDANG		0	1	1	0	50	KENDANG
SEMAR_PAGULINGAN	JEGOGAN		0	2	2	0	50	JEGOGAN
SEMAR_PAGULINGAN	CALUNG		0	3	3	0	50	CALUNG
SEMAR_PAGULINGAN	PEMADE	PEMADE_POLOS	0	4	4	0	50	PEMADE
SEMAR_PAGULINGAN	PEMADE	PEMADE_SANGSIH	0	4	5	0	50	PEMADE S
SEMAR_PAGULINGAN	KANTILAN	KANTILAN_POLOS	0	6	6	0	50	KANTILAN P
SEMAR_PAGULINGAN	KANTILAN	KANTILAN_SANGSIH	0	6	7	0	50	KANTILAN S
SEMAR_PAGULINGAN	GENDERRAMBAT		0	9	8	0	50	GENDER
SEMAR_PAGULINGAN	TROMPONG		0	10	8	0	80	TROMPONG
SEMAR_PAGULINGAN	SULING		0	15	14	0	50	SULING
SEMAR_PAGULINGAN	CENGCENG		0	16	15	0	50	CENGCENG
