tag	infile	positions
Gender h	Voor de Koning 2014.xlsx	[GENDERWAYANG_SANGSIH]
Gender l	Voor de Koning 2014.xlsx	[GENDERWAYANG_POLOS]
Gong	Sekar Jepun.xlsx	[GONGS]
Reyong	Lentetijd (Krishna).xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
Trompong	Bapang Selisir.xlsx	[TROMPONG]
Ug/ga4*	Oleg tambulilingan.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
Ug/ga4/rey	Oleg tambulilingan.xlsx	[UGAL, REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
Ugal	Tari Tenun.xlsx	[UGAL]
Ugal*	Oleg tambulilingan.xlsx	[UGAL]
Ugal/ga4	Oleg tambulilingan.xlsx	[UGAL, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
Ugal/ga4/rey	Oleg tambulilingan.xlsx	[UGAL, REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ca (ga)	Sekar Jepun.xlsx	[CALUNG, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ca, je, go	Nelayan.xlsx	[GONGS, JEGOGAN, CALUNG]
ca/je/su/so	Exam composition Krishna.xlsx	[JEGOGAN, CALUNG]
ca/jeg	Telek (Ubud).xlsx	[JEGOGAN, CALUNG]
ca/ugal	Barong.xlsx	[UGAL, CALUNG]
cal/jeg	Kebyar Amstelveen.xlsx	[JEGOGAN, CALUNG]
calung	Topeng Tua.xlsx	[CALUNG]
calung*	Tarik Becak.xlsx	[CALUNG]
calung/jeg	Oleg tambulilingan.xlsx	[JEGOGAN, CALUNG]
cenceng	Tari Tenun.xlsx	[CENGCENG]
ceng2	Lentetijd (Krishna).xlsx	[CENGCENG]
ceng2 kop.	Voor de Koning 2014.xlsx	[CENGCENG]
cengceng	Tari Tenun.xlsx	[CENGCENG]
ga of gying	Kotekan demo.xlsx	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga p	Pendet.xlsx	[PEMADE_POLOS, KANTILAN_POLOS]
ga s	Pendet.xlsx	[PEMADE_SANGSIH, KANTILAN_SANGSIH]
ga+rey	Lentetijd (Krishna).xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
ga+reyong	Exam composition Krishna.xlsx	[REYONG_1, REYONG_2, REYONG_3, REYONG_4, PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
