tag	1	2	3	4	5	6	7	8	9	10	11	12	13
metadata	{"type": "tempo", "bpm": 80}
gangsa p	....	....	....	....	....	....	..z'à	z/z--
gangsa s	....	....	....	....	....	....	..e'é	e/e--

gangsa p	....	....	....	....	jjjj	iiii	zzzz	oooo
gangsa s	....	....	....	....	oooo	uuuu	eeee	aaaa

gangsa p	iiii	oooo	iiii	zzzz	jjjj	iiii	z/ïo	----
gangsa s	uuuu	aaaa	uuuu	eeee	oooo	uuuu	e/üa	----

gangsa p	....	oooo	iiii	zzzz	jjjj	iiii	zzzz	oooo
gangsa s	....	aaaa	uuuu	eeee	oooo	uuuu	eeee	aaaa

gangsa p	iiii	....	iiii	zzzz	jjjj	iiii	-z/z-	ZzZ.
gangsa s	uuuu	....	uuuu	eeee	oooo	uuuu	-e/e-	EeE.

metadata	{"type": "tempo-change", "factor": 1.25, "steps": 0}
gangsa p	i.i.iOo.	o.o.oIi.	i.i.iZz.	z.z.zJj.	j.j.jIi.	i.i.iZz.	z.i.i.e.	
gangsa s	.o.o.Ooe	.e.e.Iio	.o.o.Zzi	.i.i.Jjz	.z.z.Iio	.o.o.Zzi	.z.z.o.i	

metadata	{"type": "tempo-change", "factor": 0.4, "steps": 1}
gangsa p	o.i.e...
gangsa s	.z.o....

gangsa p	ioioiOoe	oeoeoIio	ioioiZzi	zizizJjz	jzjzjzio	ioioiZzi	Zzizioei	ozioeioz
gangsa s	uauauAai	aiaiaUua	uauauEeu	eueueOoe	odododua	uauauEeu	Eeueuaiu	aeuaiuae

metadata	{"type": "tempo-change", "factor": 2, "steps": 12}
gangsa p	ioioiOoe	oeoeoIio	ioioiZzi	zizizJjz	jzjzjzio	ioioiZzi	Zzizioei	ozioeioz
gangsa s	uauauAai	aiaiaUua	uauauEeu	eueueOoe	odododua	uauauEeu	Eeueuaiu	aeuaiuae

gangsa p	i.i.iOo.	o.o.oii.	i.i.izz.	z.z..jj.	
