instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	GONGS		GIR		OPEN		1	Gong OPEN.wav
GONG_KEBYAR	GONGS		PUR		OPEN		2	Kempur OPEN.wav
GONG_KEBYAR	GONGS		TONG		OPEN		3	Kemong OPEN.wav
GONG_KEBYAR	KEMPLI		TICK		OPEN		4	Kempli MUTED.wav
GONG_KEBYAR	CENGCENG		OPEN		OPEN		5	Cengceng OPEN.wav
GONG_KEBYAR	CENGCENG		MUTED		OPEN		6	Cengceng MUTED.wav
GONG_KEBYAR	KENDANG		KA		OPEN		7	Kendang KA wadon.wav
GONG_KEBYAR	KENDANG		PAK		OPEN		8	Kendang PAK lanang.wav
GONG_KEBYAR	KENDANG		DE		OPEN		9	Kendang DE wadon.wav
GONG_KEBYAR	KENDANG		TUT		OPEN		10	Kendang TUT lanang.wav
GONG_KEBYAR	KENDANG		JU		OPEN		11	Kendang JU wadon.wav
GONG_KEBYAR	KENDANG		KUNG		OPEN		12	Kendang KUNG lanang.wav
GONG_KEBYAR	KENDANG		PLAK		OPEN		13	
GONG_KEBYAR	KENDANG		DAG		OPEN		14	
GONG_KEBYAR	KENDANG		DUG		OPEN		15	
GONG_KEBYAR	JEGOGAN		DING	1	OPEN		20	Jegogan Ombak DING1.wav
GONG_KEBYAR	JEGOGAN		DONG	1	OPEN		21	Jegogan Ombak DONG1.wav
GONG_KEBYAR	JEGOGAN		DENG	1	OPEN		22	Jegogan Ombak DENG1.wav
GONG_KEBYAR	JEGOGAN		DUNG	1	OPEN		23	Jegogan Ombak DUNG1.wav
GONG_KEBYAR	JEGOGAN		DANG	1	OPEN		24	Jegogan Ombak DANG1.wav
GONG_KEBYAR	CALUNG		DING	1	OPEN		25	Calung Ombak DING1.wav
GONG_KEBYAR	CALUNG		DONG	1	OPEN		26	Calung Ombak DONG1.wav
GONG_KEBYAR	CALUNG		DENG	1	OPEN		27	Calung Ombak DENG1.wav
GONG_KEBYAR	CALUNG		DUNG	1	OPEN		28	Calung Ombak DUNG1.wav
GONG_KEBYAR	CALUNG		DANG	1	OPEN		29	Calung Ombak DANG1.wav
GONG_KEBYAR	PENYACAH		DANG	0	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PENYACAH		DING	1	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PENYACAH		DONG	1	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PENYACAH		DENG	1	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PENYACAH		DUNG	1	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PENYACAH		DANG	1	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PENYACAH		DING	1	OPEN		30	Reyong DENG0.wav
GONG_KEBYAR	PEMADE		DONG	0	OPEN		75	Pemade Ombak DONG0.wav
GONG_KEBYAR	PEMADE		DENG	0	OPEN		77	Pemade Ombak DENG0.wav
GONG_KEBYAR	PEMADE		DUNG	0	OPEN		79	Pemade Ombak DUNG0.wav
GONG_KEBYAR	PEMADE		DANG	0	OPEN		81	Pemade Ombak DANG0.wav
GONG_KEBYAR	PEMADE		DING	1	OPEN		83	Pemade Ombak DING1.wav
