instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	sample
GONG_KEBYAR	GONGS		GIR		OPEN		1	Gong OPEN.wav
GONG_KEBYAR	GONGS		PUR		OPEN		2	Kempur OPEN.wav
GONG_KEBYAR	GONGS		TONG		OPEN		3	Kemong OPEN.wav
GONG_KEBYAR	KEMPLI		TICK		OPEN		1	Kempli MUTED.wav
GONG_KEBYAR	CENGCENG		OPEN		OPEN		1	Cengceng OPEN.wav
GONG_KEBYAR	CENGCENG		MUTED		OPEN		2	Cengceng MUTED.wav
GONG_KEBYAR	KENDANG		KA		OPEN		1	Kendang KA wadon.wav
GONG_KEBYAR	KENDANG		PAK		OPEN		2	Kendang PAK lanang.wav
GONG_KEBYAR	KENDANG		DE		OPEN		3	Kendang DE wadon.wav
GONG_KEBYAR	KENDANG		TUT		OPEN		4	Kendang TUT lanang.wav
GONG_KEBYAR	KENDANG		JU		OPEN		5	Kendang JU wadon.wav
GONG_KEBYAR	KENDANG		KUNG		OPEN		6	Kendang KUNG lanang.wav
GONG_KEBYAR	KENDANG		PLAK		OPEN		7	
GONG_KEBYAR	KENDANG		DAG		OPEN		8	
GONG_KEBYAR	KENDANG		DUG		OPEN		9	
GONG_KEBYAR	JEGOGAN		DING	1	OPEN		1	Jegogan Ombak DING1.wav
GONG_KEBYAR	JEGOGAN		DONG	1	OPEN		2	Jegogan Ombak DONG1.wav
GONG_KEBYAR	JEGOGAN		DENG	1	OPEN		3	Jegogan Ombak DENG1.wav
GONG_KEBYAR	JEGOGAN		DUNG	1	OPEN		4	Jegogan Ombak DUNG1.wav
GONG_KEBYAR	JEGOGAN		DANG	1	OPEN		5	Jegogan Ombak DANG1.wav
GONG_KEBYAR	CALUNG		DING	1	OPEN		1	Calung Ombak DING1.wav
GONG_KEBYAR	CALUNG		DONG	1	OPEN		2	Calung Ombak DONG1.wav
GONG_KEBYAR	CALUNG		DENG	1	OPEN		3	Calung Ombak DENG1.wav
GONG_KEBYAR	CALUNG		DUNG	1	OPEN		4	Calung Ombak DUNG1.wav
GONG_KEBYAR	CALUNG		DANG	1	OPEN		5	Calung Ombak DANG1.wav
GONG_KEBYAR	PENYACAH		DANG	0	OPEN		1	
GONG_KEBYAR	PENYACAH		DING	1	OPEN		2	
GONG_KEBYAR	PENYACAH		DONG	1	OPEN		3	
GONG_KEBYAR	PENYACAH		DENG	1	OPEN		4	
GONG_KEBYAR	PENYACAH		DUNG	1	OPEN		5	
GONG_KEBYAR	PENYACAH		DANG	1	OPEN		6	
GONG_KEBYAR	PENYACAH		DING	1	OPEN		7	
GONG_KEBYAR	PEMADE		DONG	0	OPEN		1	Pemade Ombak DONG0.wav
GONG_KEBYAR	PEMADE		DENG	0	OPEN		2	Pemade Ombak DENG0.wav
GONG_KEBYAR	PEMADE		DUNG	0	OPEN		3	Pemade Ombak DUNG0.wav
GONG_KEBYAR	PEMADE		DANG	0	OPEN		4	Pemade Ombak DANG0.wav
GONG_KEBYAR	PEMADE		DING	1	OPEN		5	Pemade Ombak DING1.wav
GONG_KEBYAR	PEMADE		DONG	1	OPEN		6	Pemade Ombak DONG1.wav
GONG_KEBYAR	PEMADE		DENG	1	OPEN		7	Pemade Ombak DENG1.wav
