instrumentgroup	instrumenttype	bank	preset	channel	preset_name
GONG_KEBYAR	GONGS	128	1	10	Percussion
GONG_KEBYAR	KEMPLI	128	1	10	Percussion
GONG_KEBYAR	CENGCENG	128	1	10	Percussion
GONG_KEBYAR	KENDANG	128	1	10	Percussion
GONG_KEBYAR	JEGOGAN	1	1	1	Metallophones
GONG_KEBYAR	CALUNG	1	1	1	Metallophones
GONG_KEBYAR	PENYACAH	1	1	1	Metallophones
GONG_KEBYAR	PEMADE	1	1	1	Metallophones
GONG_KEBYAR	KANTILAN	1	1	1	Metallophones
GONG_KEBYAR	UGAL	1	1	1	Metallophones
GONG_KEBYAR	GENDERRAMBAT	1	1	1	Metallophones
GONG_KEBYAR	REYONG	1	2	2	Melodic gongs
GONG_KEBYAR	TROMPONG	1	2	2	Melodic gongs
SEMAR_PAGULINGAN	GONGS	128	1	10	Percussion
SEMAR_PAGULINGAN	KEMPLI	128	1	10	Percussion
SEMAR_PAGULINGAN	CENGCENG	128	1	10	Percussion
SEMAR_PAGULINGAN	KENDANG	128	1	10	Percussion
SEMAR_PAGULINGAN	JEGOGAN	1	1	1	Melodic
SEMAR_PAGULINGAN	CALUNG	1	1	1	Melodic
SEMAR_PAGULINGAN	PEMADE	1	1	1	Melodic
SEMAR_PAGULINGAN	KANTILAN	1	1	1	Melodic
SEMAR_PAGULINGAN	TROMPONG	1	1	1	Melodic
