instrumentgroup	instrumenttype	position	bank	preset	channel	port	preset_name
GONG_KEBYAR	KEMPLI		0	0	0	0	Kempli
GONG_KEBYAR	GONGS		0	1	1	0	Gongs
GONG_KEBYAR	CENGCENG		0	2	2	0	Cenceng
GONG_KEBYAR	KENDANG		0	3	3	0	Kendang
GONG_KEBYAR	JEGOGAN		0	4	4	0	Jegogan
GONG_KEBYAR	CALUNG		0	5	5	0	Calung
GONG_KEBYAR	PEMADE	PEMADE_POLOS	0	6	6	0	Pemade polos
GONG_KEBYAR	PEMADE	PEMADE_SANGSIH	0	7	7	0	Pemade sangsih
GONG_KEBYAR	KANTILAN	KANTILAN_POLOS	0	8	8	0	Kantilan polos
GONG_KEBYAR	KANTILAN	KANTILAN_SANGSIH	0	9	9	0	Kantilan sangsih
GONG_KEBYAR	UGAL		0	10	10	0	Ugal
GONG_KEBYAR	GENDERRAMBAT		0	11	11	0	Genderrambat
GONG_KEBYAR	REYONG	REYONG_1	0	12	12	0	Reyong 1
GONG_KEBYAR	REYONG	REYONG_2	0	13	13	0	Reyong 2
GONG_KEBYAR	REYONG	REYONG_3	0	14	14	0	Reyong 3
GONG_KEBYAR	REYONG	REYONG_4	0	15	15	0	Reyong 4
