instrumenttype	position	symbol	pitch	octave	stroke	note_value	modifier	midinote	rootnote	sample
UGAL	UGAL		DONG	0	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DONG	0	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DONG	0	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DONG	0	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DONG	0	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DONG	0	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DONG	0	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DONG	0	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DONG	0	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DENG	0	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DENG	0	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DENG	0	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DENG	0	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DENG	0	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DENG	0	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DENG	0	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DENG	0	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DENG	0	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DUNG	0	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DUNG	0	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DUNG	0	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DUNG	0	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DUNG	0	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DUNG	0	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DUNG	0	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DUNG	0	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DUNG	0	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DANG	0	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DANG	0	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DANG	0	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DANG	0	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DANG	0	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DANG	0	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DANG	0	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DANG	0	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DANG	0	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DING	1	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DING	1	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DING	1	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DING	1	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DING	1	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DING	1	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DING	1	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DING	1	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DING	1	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DONG	1	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DONG	1	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DONG	1	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DONG	1	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DONG	1	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DONG	1	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DONG	1	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DONG	1	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DONG	1	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DENG	1	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DENG	1	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DENG	1	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DENG	1	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DENG	1	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DENG	1	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DENG	1	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DENG	1	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DENG	1	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DUNG	1	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DUNG	1	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DUNG	1	OPEN	0.25	NONE	[127]		
UGAL	UGAL		DUNG	1	ABBREVIATED	1.0	NONE	[127]		
UGAL	UGAL		DUNG	1	ABBREVIATED	0.5	NONE	[127]		
UGAL	UGAL		DUNG	1	ABBREVIATED	0.25	NONE	[127]		
UGAL	UGAL		DUNG	1	MUTED	1.0	NONE	[127]		
UGAL	UGAL		DUNG	1	MUTED	0.5	NONE	[127]		
UGAL	UGAL		DUNG	1	MUTED	0.25	NONE	[127]		
UGAL	UGAL		DANG	1	OPEN	1.0	NONE	[127]		
UGAL	UGAL		DANG	1	OPEN	0.5	NONE	[127]		
UGAL	UGAL		DANG	1	OPEN	0.25	NONE	[127]		
