instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
REYONG	REYONG_1	b/	BYONG	None	ABBREVIATED	1.0	0.0	NONE	[13, 15]	GK REYONG ROOT		1.0
REYONG	REYONG_2	b/	BYONG	None	ABBREVIATED	1.0	0.0	NONE	[16, 18]	GK REYONG ROOT		1.0
REYONG	REYONG_3	b/	BYONG	None	ABBREVIATED	1.0	0.0	NONE	[19, 21]	GK REYONG ROOT		1.0
REYONG	REYONG_4	b/	BYONG	None	ABBREVIATED	1.0	0.0	NONE	[22, 24]	GK REYONG ROOT		1.0
REYONG	REYONG_1	B	BYONG	None	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[1, 3]	GK REYONG ROOT		1.0
REYONG	REYONG_4	B	BYONG	None	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[10, 12]	GK REYONG ROOT		1.0
REYONG	REYONG_2	B	BYONG	None	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[4, 6]	GK REYONG ROOT		1.0
REYONG	REYONG_3	B	BYONG	None	GRACE_NOTE	1.0	0.0	GRACE_NOTE	[7, 9]	GK REYONG ROOT		1.0
REYONG	REYONG_1	b?	BYONG	None	MUTED	1.0	0.0	NONE	[25, 27]	GK REYONG ROOT		1.0
REYONG	REYONG_2	b?	BYONG	None	MUTED	1.0	0.0	NONE	[28, 30]	GK REYONG ROOT		1.0
REYONG	REYONG_3	b?	BYONG	None	MUTED	1.0	0.0	NONE	[31, 33]	GK REYONG ROOT		1.0
REYONG	REYONG_4	b?	BYONG	None	MUTED	1.0	0.0	NONE	[34, 36]	GK REYONG ROOT		1.0
REYONG	REYONG_1	b	BYONG	None	OPEN	1.0	0.0	NONE	[1, 3]	GK REYONG ROOT		1.0
REYONG	REYONG_4	b	BYONG	None	OPEN	1.0	0.0	NONE	[10, 12]	GK REYONG ROOT		1.0
REYONG	REYONG_2	b	BYONG	None	OPEN	1.0	0.0	NONE	[4, 6]	GK REYONG ROOT		1.0
REYONG	REYONG_3	b	BYONG	None	OPEN	1.0	0.0	NONE	[7, 9]	GK REYONG ROOT		1.0
KENDANG	KENDANG	0?	CUNG	None	MUTED	1.0	0.0	NONE	[5]	GK KENDANG CUNG	GK Kendang CUNG wadon.wav	1.0
KENDANG	KENDANG	0	CUNG	None	OPEN	1.0	0.0	NONE	[5]	GK KENDANG CUNG	GK Kendang CUNG wadon.wav	1.0
PENYACAH	PENYACAH	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[29]	GK PENYACAH ROOT		1.0
PEMADE	PEMADE_POLOS	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[14]	GK PEMADE ROOT		1.0
PEMADE	PEMADE_SANGSIH	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[14]	GK PEMADE ROOT		1.0
KANTILAN	KANTILAN_POLOS	a,/	DANG	0	ABBREVIATED	1.0	0.0	NONE	[14]	GK KANTILAN ROOT		1.0
