symbol	unicode	symbol_description	balifont_symbol_description	note	octave	stroke	duration	rest_after	modifier	description
1	0x0031	digit 1	superscript i in front of next note	DING	1	OPEN	0.5	0	SUBTRACT_FROM_PREV	grace note ding, subtracts own duration from preceding note
2	0x0032	digit 2	superscript o in front of next note	DONG	1	OPEN	0.5	0	SUBTRACT_FROM_PREV	grace note dong, subtracts own duration from preceding note
3	0x0033	digit 3	superscript e in front of next note	DENG	1	OPEN	0.5	0	SUBTRACT_FROM_PREV	grace note deng, subtracts own duration from preceding note
5	0x0035	digit 5	superscript u in front of next note	DUNG	1	OPEN	0.5	0	SUBTRACT_FROM_PREV	grace note dung, subtracts own duration from previous note
6	0x0036	digit 6	superscript a in front of next note	DANG	1	OPEN	0.5	0	SUBTRACT_FROM_PREV	grace note dang, subtracts own duration from preceding note
7	0x0037	digit 7	superscript x in front of next note	TICK		ONE_PANGGUL	0.5	0	SUBTRACT_FROM_PREV	grace tick
&	0x0026	ampersand	p	PAK		OPEN	1.0	0.0	NONE	kendang pak
(	0x0028	left round bracket	t	TUT		OPEN	1.0	0.0	NONE	kendang tut
)	0x0029	right round bracket	serifless u	PUNG		OPEN	1.0	0.0	NONE	kendang pung
,	0x002c	comma	dot under previous note character	NONE	0	NONE	0	0	OCTAVE_0	sets octave of preceding note to 0
-	0x002d	hyphen	dash	NONE		EXTENSION	1.0	0.0	NONE	extends note duration
.	0x002e	period	dot	NONE		SILENCE	0.0	1.0	NONE	silence (muted note) open
/	0x002f	forward slash	slash through previous note	NONE		MUTED	0.25	0.75	MUTE	abbreviates previous note
0	0x0030	digit 0	serifless u upside-down	KRUM		OPEN	1.0	0.0	NONE	"kendang krum "
8	0x0038	digit 8	k	KEP		OPEN	1.0	0.0	NONE	kendang kep
9	0x0039	digit 9	d	DUT		OPEN	1.0	0.0	NONE	kendang dut
G	0x0047	uppercase G	G	GIR		OPEN	1.0	0.0	NONE	gir
P	0x0050	uppercase P	P	PUR		OPEN	1.0	0.0	NONE	pur
T	0x0054	uppercase T	T	TONG		OPEN	1.0	0.0	NONE	tong
X	0x0058	uppercast X	X	TICK		TWO_PANGGUL	1.0	0.0	NONE	tick open with two panggul
a	0x0061	lowercase a	a	DANG	1	OPEN	1.0	0.0	NONE	dang1 open
b	0x0062	lowercase b	b	BYONG		OPEN	1.0	0.0	NONE	byong
d	0x0064	lowercase d	d	DUT		OPEN	1.0	0.0	NONE	kendang dut
e	0x0065	lowercase e	e	DENG	1	OPEN	1.0	0.0	NONE	deng1 open
i	0x0069	lowercase i	dotless i	DING	1	OPEN	1.0	0.0	NONE	ding1 open
o	0x006f	lowercase o	o	DONG	1	OPEN	1.0	0.0	NONE	dong1 open
r	0x0072	lowercase r	e and u combined	DEUNG	1	OPEN	1.0	0.0	NONE	deung open
s	0x0073	lowercase s	a and i combined	DAING	1	OPEN	1.0	0.0	NONE	daing open
t	0x0074	lowercase t	e and i combined	DENGDING	0	OPEN	1.0	0.0	NONE	dengding open (reyong 1)
u	0x0075	lowercase u	u	DUNG	1	OPEN	1.0	0.0	NONE	dung1 open
x	0x0078	lowercase x	x	TICK		ONE_PANGGUL	1.0	0.0	NONE	tick open with one
<	0x003c	less than	overdot (combining)	NONE	2	NONE	0	0	OCTAVE_2	sets octave of preceding note to 2
=	0x003d	equal	double macron (combining)	NONE		NONE	0.25	0	QUARTER_NOTE	sets the duration of the preceding note to 1/4
?	0x003f	question mark	slash right of char (combining)	NONE		NONE	0.4	0.6	ABBREVIATE	makes preceding note muted
_	0x005f	underscore	macron (combining)	NONE		NONE	0.5	0	HALF_NOTE	sets the duration of the preceding note to 1/2
