tag	infile
Gender h	Voor de Koning 2014.xlsx
Gender l	Voor de Koning 2014.xlsx
Gong	Sekar Jepun.xlsx
Penyelah	Telek (Ubud).xlsx
Reyong	Lentetijd (Krishna).xlsx
Trompong	Bapang Selisir.xlsx
Ug/ga4*	Oleg tambulilingan.xlsx
Ug/ga4/rey	Oleg tambulilingan.xlsx
Ugal	Tari Tenun.xlsx
Ugal*	Oleg tambulilingan.xlsx
Ugal/ga4	Oleg tambulilingan.xlsx
Ugal/ga4/rey	Oleg tambulilingan.xlsx
ca (ga)	Sekar Jepun.xlsx
ca, je, go	Nelayan.xlsx
ca/je/su/so	Exam composition Krishna.xlsx
ca/jeg	Telek (Ubud).xlsx
ca/ugal	Barong.xlsx
cal/jeg	Kebyar Amstelveen.xlsx
calung	Topeng Tua.xlsx
calung*	Tarik Becak.xlsx
calung/jeg	Oleg tambulilingan.xlsx
cenceng	Tari Tenun.xlsx
ceng2	Lentetijd (Krishna).xlsx
ceng2 kop.	Voor de Koning 2014.xlsx
cengceng	Tari Tenun.xlsx
ga of gying	Kotekan demo.xlsx
ga p	Pendet.xlsx
ga s	Pendet.xlsx
ga+rey	Lentetijd (Krishna).xlsx
ga+reyong	Exam composition Krishna.xlsx
ga/ca/je	Telek (Ubud).xlsx
ga/ugal	Murniati.xlsx
ga4	Oleg tambulilingan.xlsx
gang./gying	Tabuh telu.xlsx
gangs4	Baris.xlsx
gangsa	Telek (Ubud).xlsx
gangsa 4	Oleg tambulilingan.xlsx
gangsa p	Topeng Tua.xlsx
gangsa p*	Oleg tambulilingan.xlsx
gangsa p/s	Tabuh telu.xlsx
gangsa s	Topeng Tua.xlsx
gangsa s*	Oleg tambulilingan.xlsx
gangsa*	Tari Tenun.xlsx
gangsa4	Topeng Tua.xlsx
gangsa4*	Tari Tenun.xlsx
gangsag4	Gilak Penutup.xlsx
gansga p	Tabuh telu.xlsx
gender	Liar Samas.xlsx
gong	Voor de Koning 2014.xlsx
gying	Tabuh telu.xlsx
gying/gangsa	Tabuh Topeng.xlsx
jegog	Telek (Ubud).xlsx
jegogan	Topeng Tua.xlsx
jublag	Murniati.xlsx
kantilan	Tarik Becak.xlsx
kantilan p	Tabuh telu.xlsx
kantilan s	Tabuh telu.xlsx
kantilan*	Exam composition Krishna.xlsx
kantilan4	Lentetijd (Krishna).xlsx
kebyar	Ramayana.xlsx
kempli	Lentetijd (Krishna).xlsx
kempli*	Exam composition Krishna.xlsx
kendang	Voor de Koning 2014.xlsx
kendang*	Hujan Mas.xlsx
pemade	Girang Penutup.xlsx
pemade p	Lentetijd (Krishna).xlsx
pemade s	Lentetijd (Krishna).xlsx
pemade4	Nelayan.xlsx
rey/ceng	Tari Tenun.xlsx
rey/suling	Exam composition Krishna.xlsx
reyong	Topeng Tua.xlsx
reyong 1	Kebyar Amstelveen.xlsx
reyong 1/3	Gambangan.xlsx
reyong 12	Rejang Dewa.xlsx
reyong 2	Kebyar Amstelveen.xlsx
reyong 2.4	Gambangan.xlsx
reyong 2/4	Gambangan.xlsx
reyong 3	Kebyar Amstelveen.xlsx
reyong 34	Rejang Dewa.xlsx
reyong 4	Kebyar Amstelveen.xlsx
reyong p	Tabuh Topeng.xlsx
reyong s	Tabuh Topeng.xlsx
reyong(1)	Lentetijd (Krishna).xlsx
reyong(2)	Lentetijd (Krishna).xlsx
reyong*	Exam composition Krishna.xlsx
reyong1	Sidakarya.xlsx
reyong1+3	Gilak Penutup Kt Suda Negara.xlsx
reyong1+3*	Gilak Penutup Kt Suda Negara.xlsx
reyong1-3	Girang Penutup.xlsx
reyong1-4	Panyembrama.xlsx
reyong1-41	Manuk Rawa.xlsx
reyong1-42	Manuk Rawa.xlsx
reyong1-43	Manuk Rawa.xlsx
reyong1-44	Manuk Rawa.xlsx
reyong12	Gilak Penutup.xlsx
reyong12*	Gilak Penutup.xlsx
reyong13	Topeng keras.xlsx
reyong13A	Lentetijd (Krishna).xlsx
reyong13B	Lentetijd (Krishna).xlsx
reyong13C	Lentetijd (Krishna).xlsx
reyong2	Sidakarya.xlsx
reyong2+4	Gilak Penutup Kt Suda Negara.xlsx
reyong2+4*	Gilak Penutup Kt Suda Negara.xlsx
reyong2-4	Girang Penutup.xlsx
reyong24	Topeng keras.xlsx
reyong24(alt)	Topeng keras.xlsx
reyong24A	Lentetijd (Krishna).xlsx
reyong24B	Lentetijd (Krishna).xlsx
reyong24C	Lentetijd (Krishna).xlsx
reyong3	Sidakarya.xlsx
reyong34	Gilak Penutup.xlsx
reyong34*	Gilak Penutup.xlsx
reyong4	Sidakarya.xlsx
reyongC	Lentetijd (Krishna).xlsx
tr/ga/ca	Lengker.xlsx
trompong	Sinom Ladrang.xlsx
ug / ga	Pendet.xlsx
ug/ga4/ca	Telek (Ubud).xlsx
ug/gang p	Tarik Becak.xlsx
ugal	Topeng Tua.xlsx
ugal / ga4	Manuk Rawa.xlsx
ugal+ga4	Kebyar Ding.xlsx
ugal/ga	Telek (Ubud).xlsx
ugal/ga.p	Murniati.xlsx
ugal/ga4	Tarik Becak.xlsx
ugal/gang	Tarik Becak.xlsx
ugal/jeg	Liar Samas.xlsx
