tag	infile	instruments	positions
Gender h	Voor de Koning 2014.xlsx	[GENDERRAMBAT]	[DEFAULT]
Gender l	Voor de Koning 2014.xlsx	[GENDERRAMBAT]	[DEFAULT]
Gong	Sekar Jepun.xlsx	[GONGS]	[DEFAULT]
Reyong	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
Trompong	Bapang Selisir.xlsx	[TROMPONG]	[DEFAULT]
Ug/ga4*	Oleg tambulilingan.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
Ug/ga4/rey	Oleg tambulilingan.xlsx	[UGAL, REYONG, KANTILAN, PEMADE]	[DEFAULT]
Ugal	Tari Tenun.xlsx	[UGAL]	[DEFAULT]
Ugal*	Oleg tambulilingan.xlsx	[UGAL]	[DEFAULT]
Ugal/ga4	Oleg tambulilingan.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
Ugal/ga4/rey	Oleg tambulilingan.xlsx	[UGAL, REYONG, KANTILAN, PEMADE]	[DEFAULT]
ca (ga)	Sekar Jepun.xlsx	[CALUNG, PEMADE, KANTILAN]	[DEFAULT]
ca, je, go	Nelayan.xlsx	[GONGS, JEGOGAN, CALUNG]	[DEFAULT]
ca/je/su/so	Exam composition Krishna.xlsx	[JEGOGAN, CALUNG]	[DEFAULT]
ca/jeg	Telek (Ubud).xlsx	[JEGOGAN, CALUNG]	[DEFAULT]
ca/ugal	Barong.xlsx	[UGAL, CALUNG]	[DEFAULT]
cal/jeg	Kebyar Amstelveen.xlsx	[JEGOGAN, CALUNG]	[DEFAULT]
calung	Topeng Tua.xlsx	[CALUNG]	[DEFAULT]
calung*	Tarik Becak.xlsx	[CALUNG]	[DEFAULT]
calung/jeg	Oleg tambulilingan.xlsx	[JEGOGAN, CALUNG]	[DEFAULT]
cenceng	Tari Tenun.xlsx	[CENGCENG]	[DEFAULT]
ceng2	Lentetijd (Krishna).xlsx	[CENGCENG]	[DEFAULT]
ceng2 kop.	Voor de Koning 2014.xlsx	[CENGCENG]	[DEFAULT]
cengceng	Tari Tenun.xlsx	[CENGCENG]	[DEFAULT]
ga of gying	Kotekan demo.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
ga p	Pendet.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
ga s	Pendet.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
ga+rey	Lentetijd (Krishna).xlsx	[KANTILAN, REYONG, PEMADE]	[DEFAULT]
ga+reyong	Exam composition Krishna.xlsx	[KANTILAN, REYONG, PEMADE]	[DEFAULT]
ga/ca/je	Telek (Ubud).xlsx	[JEGOGAN, KANTILAN, PEMADE, CALUNG]	[DEFAULT]
ga/ugal	Murniati.xlsx	[KANTILAN, UGAL, PEMADE]	[DEFAULT]
ga4	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gang./gying	Tabuh telu.xlsx	[KANTILAN, UGAL, PEMADE]	[DEFAULT]
gangs4	Baris.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa	Telek (Ubud).xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa 4	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa p	Topeng Tua.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa p*	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa p/s	Tabuh telu.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa s	Topeng Tua.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa s*	Oleg tambulilingan.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa*	Tari Tenun.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa4	Topeng Tua.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsa4*	Tari Tenun.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gangsag4	Gilak Penutup.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gansga p	Tabuh telu.xlsx	[KANTILAN, PEMADE]	[DEFAULT]
gender	Liar Samas.xlsx	[GENDERRAMBAT]	[DEFAULT]
gong	Voor de Koning 2014.xlsx	[GONGS]	[DEFAULT]
gying	Tabuh telu.xlsx	[UGAL]	[DEFAULT]
gying/gangsa	Tabuh Topeng.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
jegog	Telek (Ubud).xlsx	[JEGOGAN]	[DEFAULT]
jegogan	Topeng Tua.xlsx	[JEGOGAN]	[DEFAULT]
jublag	Murniati.xlsx	[CALUNG]	[DEFAULT]
kantilan	Tarik Becak.xlsx	[KANTILAN]	[DEFAULT]
kantilan p	Tabuh telu.xlsx	[KANTILAN]	[DEFAULT]
kantilan s	Tabuh telu.xlsx	[KANTILAN]	[DEFAULT]
kantilan*	Exam composition Krishna.xlsx	[KANTILAN]	[DEFAULT]
kantilan4	Lentetijd (Krishna).xlsx	[KANTILAN]	[DEFAULT]
kempli	Lentetijd (Krishna).xlsx	[KEMPLI]	[DEFAULT]
kempli*	Exam composition Krishna.xlsx	[KEMPLI]	[DEFAULT]
kendang	Voor de Koning 2014.xlsx	[KENDANG]	[DEFAULT]
kendang*	Hujan Mas.xlsx	[KENDANG]	[DEFAULT]
pemade	Girang Penutup.xlsx	[PEMADE]	[DEFAULT]
pemade p	Lentetijd (Krishna).xlsx	[PEMADE]	[DEFAULT]
pemade s	Lentetijd (Krishna).xlsx	[PEMADE]	[DEFAULT]
pemade4	Nelayan.xlsx	[PEMADE]	[DEFAULT]
rey/ceng	Tari Tenun.xlsx	[REYONG, CENGCENG]	[DEFAULT]
rey/suling	Exam composition Krishna.xlsx	[REYONG]	[DEFAULT]
reyong	Topeng Tua.xlsx	[REYONG]	[DEFAULT]
reyong 1	Kebyar Amstelveen.xlsx	[REYONG]	[DEFAULT]
reyong 1/3	Gambangan.xlsx	[REYONG]	[DEFAULT]
reyong 12	Rejang Dewa.xlsx	[REYONG]	[DEFAULT]
reyong 2	Kebyar Amstelveen.xlsx	[REYONG]	[DEFAULT]
reyong 2.4	Gambangan.xlsx	[REYONG]	[DEFAULT]
reyong 2/4	Gambangan.xlsx	[REYONG]	[DEFAULT]
reyong 3	Kebyar Amstelveen.xlsx	[REYONG]	[DEFAULT]
reyong 34	Rejang Dewa.xlsx	[REYONG]	[DEFAULT]
reyong 4	Kebyar Amstelveen.xlsx	[REYONG]	[DEFAULT]
reyong p	Tabuh Topeng.xlsx	[REYONG]	[DEFAULT]
reyong s	Tabuh Topeng.xlsx	[REYONG]	[DEFAULT]
reyong(1)	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong(2)	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong*	Exam composition Krishna.xlsx	[REYONG]	[DEFAULT]
reyong1	Sidakarya.xlsx	[REYONG]	[DEFAULT]
reyong1+3	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[DEFAULT]
reyong1+3*	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[DEFAULT]
reyong1-3	Girang Penutup.xlsx	[REYONG]	[DEFAULT]
reyong1-4	Panyembrama.xlsx	[REYONG]	[DEFAULT]
reyong1-41	Manuk Rawa.xlsx	[REYONG]	[DEFAULT]
reyong1-42	Manuk Rawa.xlsx	[REYONG]	[DEFAULT]
reyong1-43	Manuk Rawa.xlsx	[REYONG]	[DEFAULT]
reyong1-44	Manuk Rawa.xlsx	[REYONG]	[DEFAULT]
reyong12	Gilak Penutup.xlsx	[REYONG]	[DEFAULT]
reyong12*	Gilak Penutup.xlsx	[REYONG]	[DEFAULT]
reyong13	Topeng keras.xlsx	[REYONG]	[DEFAULT]
reyong13A	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong13B	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong13C	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong2	Sidakarya.xlsx	[REYONG]	[DEFAULT]
reyong2+4	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[DEFAULT]
reyong2+4*	Gilak Penutup Kt Suda Negara.xlsx	[REYONG]	[DEFAULT]
reyong2-4	Girang Penutup.xlsx	[REYONG]	[DEFAULT]
reyong24	Topeng keras.xlsx	[REYONG]	[DEFAULT]
reyong24(alt)	Topeng keras.xlsx	[REYONG]	[DEFAULT]
reyong24A	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong24B	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong24C	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
reyong3	Sidakarya.xlsx	[REYONG]	[DEFAULT]
reyong34	Gilak Penutup.xlsx	[REYONG]	[DEFAULT]
reyong34*	Gilak Penutup.xlsx	[REYONG]	[DEFAULT]
reyong4	Sidakarya.xlsx	[REYONG]	[DEFAULT]
reyongC	Lentetijd (Krishna).xlsx	[REYONG]	[DEFAULT]
tr/ga/ca	Lengker.xlsx	[KANTILAN, PEMADE, TROMPONG, CALUNG]	[DEFAULT]
trompong	Sinom Ladrang.xlsx	[TROMPONG]	[DEFAULT]
ug / ga	Pendet.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ug/ga4/ca	Telek (Ubud).xlsx	[UGAL, KANTILAN, PEMADE, CALUNG]	[DEFAULT]
ug/gang p	Tarik Becak.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal	Topeng Tua.xlsx	[UGAL]	[DEFAULT]
ugal / ga4	Manuk Rawa.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal+ga4	Kebyar Ding.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal/ga	Telek (Ubud).xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal/ga.p	Murniati.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal/ga4	Tarik Becak.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal/gang	Tarik Becak.xlsx	[UGAL, KANTILAN, PEMADE]	[DEFAULT]
ugal/jeg	Liar Samas.xlsx	[JEGOGAN, UGAL]	[DEFAULT]
