instrumentgroup	instrumenttype	positions	notevalue	channel	midi-gk1	midi-gk2	midi-piano
GONG_KEBYAR	GONGS		GIR	9	0	1	22
GONG_KEBYAR	GONGS		PUR	9	1	2	28
GONG_KEBYAR	GONGS		TONG	9	2	3	47
GONG_KEBYAR	KEMPLI		TICK_1_PANGGUL	9	3	4	66
GONG_KEBYAR	CENGCENG		OPEN	9	4	5	0
GONG_KEBYAR	CENGCENG		MUTED	9	5	6	0
GONG_KEBYAR	KENDANG		KAP	9	6	7	0
GONG_KEBYAR	KENDANG		PEK	9	7	8	0
GONG_KEBYAR	KENDANG		DAG	9	8	9	0
GONG_KEBYAR	KENDANG		TUT	9	9	10	0
GONG_KEBYAR	KENDANG		KRUM	9	10	11	0
GONG_KEBYAR	KENDANG		PUNG	9	11	12	0
GONG_KEBYAR	KENDANG		PLAK	9	12	13	0
GONG_KEBYAR	KENDANG		DAG	9	13	14	0
GONG_KEBYAR	KENDANG		DUG	9	14	15	0
GONG_KEBYAR	KENDANG		TAK	9	15	16	0
GONG_KEBYAR	KENDANG		TEK	9	16	17	0
GONG_KEBYAR	JEGOGAN		DING1	0	19	20	37
GONG_KEBYAR	JEGOGAN		DONG1	0	20	21	38
GONG_KEBYAR	JEGOGAN		DENG1	0	21	22	40
GONG_KEBYAR	JEGOGAN		DUNG1	0	22	23	44
GONG_KEBYAR	JEGOGAN		DANG1	0	23	24	45
GONG_KEBYAR	CALUNG		DING1	0	26	25	49
GONG_KEBYAR	CALUNG		DONG1	0	27	26	50
GONG_KEBYAR	CALUNG		DENG1	0	28	27	52
GONG_KEBYAR	CALUNG		DUNG1	0	29	28	56
GONG_KEBYAR	CALUNG		DANG1	0	30	29	57
GONG_KEBYAR	PENYACAH		DANG0	0	33	30	57
GONG_KEBYAR	PENYACAH		DING1	0	34	30	61
GONG_KEBYAR	PENYACAH		DONG1	0	35	30	62
GONG_KEBYAR	PENYACAH		DENG1	0	36	30	64
GONG_KEBYAR	PENYACAH		DUNG1	0	37	30	68
GONG_KEBYAR	PENYACAH		DANG1	0	38	30	69
GONG_KEBYAR	PENYACAH		DING2	0	39	30	73
GONG_KEBYAR	PEMADE		DONG0	0	40	75	50
GONG_KEBYAR	PEMADE		DENG0	0	41	77	52
