instrumentgroup	instrumenttype	positions	note	octave	stroke	channel	midi-gk1	midi-gk2	midi-piano
GONG_KEBYAR	GONGS		GIR		OPEN	9	0	1	22
GONG_KEBYAR	GONGS		PUR		OPEN	9	1	2	28
GONG_KEBYAR	GONGS		TONG		OPEN	9	2	3	47
GONG_KEBYAR	KEMPLI		TICK		ONE_PANGGUL	9	3	4	66
GONG_KEBYAR	CENGCENG		OPEN		OPEN	9	4	5	0
GONG_KEBYAR	CENGCENG		MUTED		OPEN	9	5	6	0
GONG_KEBYAR	KENDANG		KAP		OPEN	9	6	7	0
GONG_KEBYAR	KENDANG		PEK		OPEN	9	7	8	0
GONG_KEBYAR	KENDANG		DAG		OPEN	9	8	9	0
GONG_KEBYAR	KENDANG		TUT		OPEN	9	9	10	0
GONG_KEBYAR	KENDANG		KRUM		OPEN	9	10	11	0
GONG_KEBYAR	KENDANG		PUNG		OPEN	9	11	12	0
GONG_KEBYAR	KENDANG		PLAK		OPEN	9	12	13	0
GONG_KEBYAR	KENDANG		DAG		OPEN	9	13	14	0
GONG_KEBYAR	KENDANG		DUG		OPEN	9	14	15	0
GONG_KEBYAR	KENDANG		TAK		OPEN	9	15	16	0
GONG_KEBYAR	KENDANG		TEK		OPEN	9	16	17	0
GONG_KEBYAR	JEGOGAN		DING	1	OPEN	0	19	20	37
GONG_KEBYAR	JEGOGAN		DONG	1	OPEN	0	20	21	38
GONG_KEBYAR	JEGOGAN		DENG	1	OPEN	0	21	22	40
GONG_KEBYAR	JEGOGAN		DUNG	1	OPEN	0	22	23	44
GONG_KEBYAR	JEGOGAN		DANG	1	OPEN	0	23	24	45
GONG_KEBYAR	CALUNG		DING	1	OPEN	0	26	25	49
GONG_KEBYAR	CALUNG		DONG	1	OPEN	0	27	26	50
GONG_KEBYAR	CALUNG		DENG	1	OPEN	0	28	27	52
GONG_KEBYAR	CALUNG		DUNG	1	OPEN	0	29	28	56
GONG_KEBYAR	CALUNG		DANG	1	OPEN	0	30	29	57
GONG_KEBYAR	PENYACAH		DANG	0	OPEN	0	33	30	57
GONG_KEBYAR	PENYACAH		DING	1	OPEN	0	34	30	61
GONG_KEBYAR	PENYACAH		DONG	1	OPEN	0	35	30	62
GONG_KEBYAR	PENYACAH		DENG	1	OPEN	0	36	30	64
GONG_KEBYAR	PENYACAH		DUNG	1	OPEN	0	37	30	68
GONG_KEBYAR	PENYACAH		DANG	1	OPEN	0	38	30	69
GONG_KEBYAR	PENYACAH		DING	1	OPEN	0	39	30	73
GONG_KEBYAR	PEMADE		DONG	0	OPEN	0	40	75	50
GONG_KEBYAR	PEMADE		DENG	0	OPEN	0	41	77	52
GONG_KEBYAR	PEMADE		DUNG	0	OPEN	0	42	79	56
GONG_KEBYAR	PEMADE		DANG	0	OPEN	0	43	81	57
GONG_KEBYAR	PEMADE		DING	1	OPEN	0	44	83	61
GONG_KEBYAR	PEMADE		DONG	1	OPEN	0	45	85	62
GONG_KEBYAR	PEMADE		DENG	1	OPEN	0	46	87	64
GONG_KEBYAR	PEMADE		DUNG	1	OPEN	0	47	89	68
GONG_KEBYAR	PEMADE		DANG	1	OPEN	0	48	91	69
GONG_KEBYAR	PEMADE		DING	2	OPEN	0	49	93	73
GONG_KEBYAR	PEMADE		DONG	0	MUTED	0	50	76	50
GONG_KEBYAR	PEMADE		DENG	0	MUTED	0	51	78	52
GONG_KEBYAR	PEMADE		DUNG	0	MUTED	0	52	80	56
GONG_KEBYAR	PEMADE		DANG	0	MUTED	0	53	82	57
GONG_KEBYAR	PEMADE		DING	1	MUTED	0	54	84	61
GONG_KEBYAR	PEMADE		DONG	1	MUTED	0	55	86	62
GONG_KEBYAR	PEMADE		DENG	1	MUTED	0	56	88	64
GONG_KEBYAR	PEMADE		DUNG	1	MUTED	0	57	90	68
GONG_KEBYAR	PEMADE		DANG	1	MUTED	0	58	92	69
GONG_KEBYAR	PEMADE		DING	2	MUTED	0	59	94	73
GONG_KEBYAR	KANTILAN		DONG	0	OPEN	0	60	55	62
GONG_KEBYAR	KANTILAN		DENG	0	OPEN	0	61	57	64
GONG_KEBYAR	KANTILAN		DUNG	0	OPEN	0	62	59	68
GONG_KEBYAR	KANTILAN		DANG	0	OPEN	0	63	61	69
GONG_KEBYAR	KANTILAN		DING	1	OPEN	0	64	63	73
GONG_KEBYAR	KANTILAN		DONG	1	OPEN	0	65	65	74
GONG_KEBYAR	KANTILAN		DENG	1	OPEN	0	66	67	76
GONG_KEBYAR	KANTILAN		DUNG	1	OPEN	0	67	69	80
GONG_KEBYAR	KANTILAN		DANG	1	OPEN	0	68	71	81
GONG_KEBYAR	KANTILAN		DING	2	OPEN	0	69	73	85
GONG_KEBYAR	KANTILAN		DONG	0	MUTED	0	70	56	62
GONG_KEBYAR	KANTILAN		DENG	0	MUTED	0	71	58	64
GONG_KEBYAR	KANTILAN		DUNG	0	MUTED	0	72	60	68
GONG_KEBYAR	KANTILAN		DANG	0	MUTED	0	73	62	69
GONG_KEBYAR	KANTILAN		DING	1	MUTED	0	74	64	73
GONG_KEBYAR	KANTILAN		DONG	1	MUTED	0	75	66	74
GONG_KEBYAR	KANTILAN		DENG	1	MUTED	0	76	68	76
GONG_KEBYAR	KANTILAN		DUNG	1	MUTED	0	77	70	80
GONG_KEBYAR	KANTILAN		DANG	1	MUTED	0	78	72	81
GONG_KEBYAR	KANTILAN		DING	2	MUTED	0	79	74	85
GONG_KEBYAR	UGAL		DONG	0	OPEN	0	80	95	38
GONG_KEBYAR	UGAL		DENG	0	OPEN	0	81	96	40
GONG_KEBYAR	UGAL		DUNG	0	OPEN	0	82	97	44
GONG_KEBYAR	UGAL		DANG	0	OPEN	0	83	98	45
GONG_KEBYAR	UGAL		DING	1	OPEN	0	84	99	49
GONG_KEBYAR	UGAL		DONG	1	OPEN	0	85	100	50
GONG_KEBYAR	UGAL		DENG	1	OPEN	0	86	101	52
GONG_KEBYAR	UGAL		DUNG	1	OPEN	0	87	102	56
GONG_KEBYAR	UGAL		DANG	1	OPEN	0	88	103	57
GONG_KEBYAR	UGAL		DING	2	OPEN	0	89	104	61
GONG_KEBYAR	UGAL		DONG	0	MUTED	0	90	95	38
GONG_KEBYAR	UGAL		DENG	0	MUTED	0	91	96	40
GONG_KEBYAR	UGAL		DUNG	0	MUTED	0	92	97	44
GONG_KEBYAR	UGAL		DANG	0	MUTED	0	93	98	45
GONG_KEBYAR	UGAL		DING	1	MUTED	0	94	99	49
GONG_KEBYAR	UGAL		DONG	1	MUTED	0	95	100	50
GONG_KEBYAR	UGAL		DENG	1	MUTED	0	96	101	52
GONG_KEBYAR	UGAL		DUNG	1	MUTED	0	97	102	56
GONG_KEBYAR	UGAL		DANG	1	MUTED	0	98	103	57
GONG_KEBYAR	UGAL		DING	2	MUTED	0	99	104	61
GONG_KEBYAR	GENDERRAMBAT		DONG	0	OPEN	0	80	127	38
GONG_KEBYAR	GENDERRAMBAT		DENG	0	OPEN	0	81	127	40
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	OPEN	0	82	127	44
GONG_KEBYAR	GENDERRAMBAT		DANG	0	OPEN	0	83	127	45
GONG_KEBYAR	GENDERRAMBAT		DING	1	OPEN	0	84	127	49
GONG_KEBYAR	GENDERRAMBAT		DONG	1	OPEN	0	85	127	50
GONG_KEBYAR	GENDERRAMBAT		DENG	1	OPEN	0	86	127	52
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	OPEN	0	87	127	56
GONG_KEBYAR	GENDERRAMBAT		DANG	1	OPEN	0	88	127	57
GONG_KEBYAR	GENDERRAMBAT		DING	2	OPEN	0	89	127	61
GONG_KEBYAR	GENDERRAMBAT		DONG	0	MUTED	0	90	127	38
GONG_KEBYAR	GENDERRAMBAT		DENG	0	MUTED	0	91	127	40
GONG_KEBYAR	GENDERRAMBAT		DUNG	0	MUTED	0	92	127	44
GONG_KEBYAR	GENDERRAMBAT		DANG	0	MUTED	0	93	127	45
GONG_KEBYAR	GENDERRAMBAT		DING	1	MUTED	0	94	127	49
GONG_KEBYAR	GENDERRAMBAT		DONG	1	MUTED	0	95	127	50
GONG_KEBYAR	GENDERRAMBAT		DENG	1	MUTED	0	96	127	52
GONG_KEBYAR	GENDERRAMBAT		DUNG	1	MUTED	0	97	127	56
GONG_KEBYAR	GENDERRAMBAT		DANG	1	MUTED	0	98	127	57
GONG_KEBYAR	GENDERRAMBAT		DING	2	MUTED	0	99	127	61
GONG_KEBYAR	REYONG	[REYONG_1]	DENG	0	OPEN	0	103	30	52
GONG_KEBYAR	REYONG	[REYONG_1]	DENGDING	0	OPEN	0	103	30	52
GONG_KEBYAR	REYONG	[REYONG_1]	DUNG	0	OPEN	0	104	31	56
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DANG	0	OPEN	0	105	32	57
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DING	1	OPEN	0	106	33	61
GONG_KEBYAR	REYONG	[REYONG_1,REYONG_2]	DONG	1	OPEN	0	107	35	62
