instrumentgroup	instrumenttype	notevalue	midi	pianomidi
GONG_KEBYAR	GONGS	GIR	0	22
GONG_KEBYAR	GONGS	PUR	1	28
GONG_KEBYAR	GONGS	TONG	2	47
GONG_KEBYAR	KEMPLI	MUTED	3	66
GONG_KEBYAR	CENGCENG	OPEN	4	0
GONG_KEBYAR	CENGCENG	MUTED	5	0
GONG_KEBYAR	KENDANG	KAP	6	0
GONG_KEBYAR	KENDANG	PEK	7	0
GONG_KEBYAR	KENDANG	DAG	8	0
GONG_KEBYAR	KENDANG	TUT	9	0
GONG_KEBYAR	KENDANG	KRUM	10	0
GONG_KEBYAR	KENDANG	PUNG	11	0
GONG_KEBYAR	KENDANG	PLAK	12	0
GONG_KEBYAR	KENDANG	DAG	13	0
GONG_KEBYAR	KENDANG	DUG	14	0
GONG_KEBYAR	KENDANG	TAK	15	0
GONG_KEBYAR	KENDANG	TEK	16	0
GONG_KEBYAR	JEGOGAN	DING1	19	37
GONG_KEBYAR	JEGOGAN	DONG1	20	38
GONG_KEBYAR	JEGOGAN	DENG1	21	40
GONG_KEBYAR	JEGOGAN	DUNG1	22	44
GONG_KEBYAR	JEGOGAN	DANG1	23	45
GONG_KEBYAR	CALUNG	DING1	26	49
GONG_KEBYAR	CALUNG	DONG1	27	50
GONG_KEBYAR	CALUNG	DENG1	28	52
GONG_KEBYAR	CALUNG	DUNG1	29	56
GONG_KEBYAR	CALUNG	DANG1	30	57
GONG_KEBYAR	PENYACAH	DANG0	33	57
GONG_KEBYAR	PENYACAH	DING1	34	61
GONG_KEBYAR	PENYACAH	DONG1	35	62
GONG_KEBYAR	PENYACAH	DENG1	36	64
GONG_KEBYAR	PENYACAH	DUNG1	37	68
GONG_KEBYAR	PENYACAH	DANG1	38	69
GONG_KEBYAR	PENYACAH	DING2	39	73
GONG_KEBYAR	PEMADE	DONG0	40	50
GONG_KEBYAR	PEMADE	DENG0	41	52
GONG_KEBYAR	PEMADE	DUNG0	42	56
GONG_KEBYAR	PEMADE	DANG0	43	57
GONG_KEBYAR	PEMADE	DING1	44	61
GONG_KEBYAR	PEMADE	DONG1	45	62
GONG_KEBYAR	PEMADE	DENG1	46	64
GONG_KEBYAR	PEMADE	DUNG1	47	68
GONG_KEBYAR	PEMADE	DANG1	48	69
GONG_KEBYAR	PEMADE	DING2	49	73
GONG_KEBYAR	PEMADE	DONG0_MUTED	50	50
GONG_KEBYAR	PEMADE	DENG0_MUTED	51	52
GONG_KEBYAR	PEMADE	DUNG0_MUTED	52	56
GONG_KEBYAR	PEMADE	DANG0_MUTED	53	57
GONG_KEBYAR	PEMADE	DING1_MUTED	54	61
GONG_KEBYAR	PEMADE	DONG1_MUTED	55	62
GONG_KEBYAR	PEMADE	DENG1_MUTED	56	64
GONG_KEBYAR	PEMADE	DUNG1_MUTED	57	68
GONG_KEBYAR	PEMADE	DANG1_MUTED	58	69
GONG_KEBYAR	PEMADE	DING2_MUTED	59	73
GONG_KEBYAR	KANTILAN	DONG0	60	62
GONG_KEBYAR	KANTILAN	DENG0	61	64
GONG_KEBYAR	KANTILAN	DUNG0	62	68
GONG_KEBYAR	KANTILAN	DANG0	63	69
GONG_KEBYAR	KANTILAN	DING1	64	73
GONG_KEBYAR	KANTILAN	DONG1	65	74
GONG_KEBYAR	KANTILAN	DENG1	66	76
GONG_KEBYAR	KANTILAN	DUNG1	67	80
GONG_KEBYAR	KANTILAN	DANG1	68	81
